"Town","Birth.Weight","Gestational.Age","Mother.s.Age","Mother.s.Race.Ethnicity","Earliest.Data.Available"
"Guilford","Very Low Birth Weight (under 1500 grams)","All","35 to 39 years","All",NA
"Guilford","Very Low Birth Weight (under 1500 grams)","All","40 to 44 years","All",NA
"Guilford","Very Low Birth Weight (under 1500 grams)","All","45 years and older","All",NA
"Guilford","Very Low Birth Weight (under 1500 grams)","All","All","All","2010-2014"
"Guilford","Very Low Birth Weight (under 1500 grams)","All","All","Black",NA
"Guilford","Very Low Birth Weight (under 1500 grams)","All","All","Black non-Hispanic",NA
"Guilford","Very Low Birth Weight (under 1500 grams)","All","All","Hispanic",NA
"Guilford","Very Low Birth Weight (under 1500 grams)","All","All","Non-Hispanic","2010-2014"
"Guilford","Very Low Birth Weight (under 1500 grams)","All","All","Other",NA
"Guilford","Very Low Birth Weight (under 1500 grams)","All","All","Other non-Hispanic",NA
"Guilford","Very Low Birth Weight (under 1500 grams)","All","All","Unknown Ethnicity",NA
"Guilford","Very Low Birth Weight (under 1500 grams)","All","All","Unknown Race",NA
"Guilford","Very Low Birth Weight (under 1500 grams)","All","All","Unknown Race/Ethnicity",NA
"Guilford","Very Low Birth Weight (under 1500 grams)","All","All","White","2010-2014"
"Guilford","Very Low Birth Weight (under 1500 grams)","All","All","White non-Hispanic","2010-2014"
"Guilford","Very Low Birth Weight (under 1500 grams)","All","Unknown","All",NA
"Haddam","All","37 weeks or more","0 to 14 years","All",NA
"Haddam","All","37 weeks or more","15 to 19 years","All","2012-2014"
"Haddam","All","37 weeks or more","20 to 24 years","All","2014"
"Haddam","All","37 weeks or more","25 to 29 years","All","2014"
"Haddam","All","37 weeks or more","30 to 34 years","All","2014"
"Haddam","All","37 weeks or more","35 to 39 years","All","2014"
"Haddam","All","37 weeks or more","40 to 44 years","All","2014"
"Haddam","All","37 weeks or more","45 years and older","All","2012-2014"
"Haddam","All","37 weeks or more","All","All","2014"
"Haddam","All","37 weeks or more","All","Black","2010-2014"
"Haddam","All","37 weeks or more","All","Black non-Hispanic","2010-2014"
"Haddam","All","37 weeks or more","All","Hispanic","2014"
"Haddam","All","37 weeks or more","All","Non-Hispanic","2014"
"Haddam","All","37 weeks or more","All","Other","2014"
"Haddam","All","37 weeks or more","All","Other non-Hispanic","2014"
"Haddam","All","37 weeks or more","All","Unknown Ethnicity",NA
"Haddam","All","37 weeks or more","All","Unknown Race",NA
"Haddam","All","37 weeks or more","All","Unknown Race/Ethnicity",NA
"Haddam","All","37 weeks or more","All","White","2014"
"Haddam","All","37 weeks or more","All","White non-Hispanic","2014"
"Haddam","All","37 weeks or more","Unknown","All",NA
"Haddam","All","All","0 to 14 years","All",NA
"Haddam","All","All","15 to 19 years","All","2012-2014"
"Haddam","All","All","20 to 24 years","All","2014"
"Haddam","All","All","25 to 29 years","All","2014"
"Haddam","All","All","30 to 34 years","All","2014"
"Haddam","All","All","35 to 39 years","All","2014"
"Haddam","All","All","40 to 44 years","All","2014"
"Haddam","All","All","45 years and older","All","2012-2014"
"Haddam","All","All","All","All","2014"
"Haddam","All","All","All","Black","2010-2014"
"Haddam","All","All","All","Black non-Hispanic","2010-2014"
"Haddam","All","All","All","Hispanic","2014"
"Haddam","All","All","All","Non-Hispanic","2014"
"Haddam","All","All","All","Other","2014"
"Haddam","All","All","All","Other non-Hispanic","2014"
"Haddam","All","All","All","Unknown Ethnicity",NA
"Haddam","All","All","All","Unknown Race",NA
"Haddam","All","All","All","Unknown Race/Ethnicity",NA
"Haddam","All","All","All","White","2014"
"Haddam","All","All","All","White non-Hispanic","2014"
"Haddam","All","All","Unknown","All",NA
"Haddam","All","Gestational age unknown","0 to 14 years","All",NA
"Haddam","All","Gestational age unknown","15 to 19 years","All",NA
"Haddam","All","Gestational age unknown","20 to 24 years","All",NA
"Haddam","All","Gestational age unknown","25 to 29 years","All",NA
"Haddam","All","Gestational age unknown","30 to 34 years","All",NA
"Haddam","All","Gestational age unknown","35 to 39 years","All",NA
"Haddam","All","Gestational age unknown","40 to 44 years","All",NA
"Haddam","All","Gestational age unknown","45 years and older","All",NA
"Haddam","All","Gestational age unknown","All","All",NA
"Haddam","All","Gestational age unknown","All","Black",NA
"Haddam","All","Gestational age unknown","All","Black non-Hispanic",NA
"Haddam","All","Gestational age unknown","All","Hispanic",NA
"Haddam","All","Gestational age unknown","All","Non-Hispanic",NA
"Haddam","All","Gestational age unknown","All","Other",NA
"Haddam","All","Gestational age unknown","All","Other non-Hispanic",NA
"Haddam","All","Gestational age unknown","All","Unknown Ethnicity",NA
"Haddam","All","Gestational age unknown","All","Unknown Race",NA
"Haddam","All","Gestational age unknown","All","Unknown Race/Ethnicity",NA
"Haddam","All","Gestational age unknown","All","White",NA
"Haddam","All","Gestational age unknown","All","White non-Hispanic",NA
"Haddam","All","Gestational age unknown","Unknown","All",NA
"Haddam","All","Less than 37 weeks","0 to 14 years","All",NA
"Haddam","All","Less than 37 weeks","15 to 19 years","All",NA
"Haddam","All","Less than 37 weeks","20 to 24 years","All","2012-2014"
"Haddam","All","Less than 37 weeks","25 to 29 years","All","2012-2014"
"Haddam","All","Less than 37 weeks","30 to 34 years","All","2014"
"Haddam","All","Less than 37 weeks","35 to 39 years","All","2014"
"Haddam","All","Less than 37 weeks","40 to 44 years","All","2012-2014"
"Haddam","All","Less than 37 weeks","45 years and older","All",NA
"Haddam","All","Less than 37 weeks","All","All","2014"
"Haddam","All","Less than 37 weeks","All","Black",NA
"Haddam","All","Less than 37 weeks","All","Black non-Hispanic",NA
"Haddam","All","Less than 37 weeks","All","Hispanic","2014"
"Haddam","All","Less than 37 weeks","All","Non-Hispanic","2014"
"Haddam","All","Less than 37 weeks","All","Other","2012-2014"
"Haddam","All","Less than 37 weeks","All","Other non-Hispanic","2012-2014"
"Haddam","All","Less than 37 weeks","All","Unknown Ethnicity",NA
"Haddam","All","Less than 37 weeks","All","Unknown Race",NA
"Haddam","All","Less than 37 weeks","All","Unknown Race/Ethnicity",NA
"Haddam","All","Less than 37 weeks","All","White","2014"
"Haddam","All","Less than 37 weeks","All","White non-Hispanic","2014"
"Haddam","All","Less than 37 weeks","Unknown","All",NA
"Haddam","Low Birth Weight (under 2500 grams)","All","0 to 14 years","All",NA
"Haddam","Low Birth Weight (under 2500 grams)","All","15 to 19 years","All",NA
"Haddam","Low Birth Weight (under 2500 grams)","All","20 to 24 years","All","2012-2014"
"Haddam","Low Birth Weight (under 2500 grams)","All","25 to 29 years","All","2012-2014"
"Haddam","Low Birth Weight (under 2500 grams)","All","30 to 34 years","All","2014"
"Haddam","Low Birth Weight (under 2500 grams)","All","35 to 39 years","All","2014"
"Haddam","Low Birth Weight (under 2500 grams)","All","40 to 44 years","All",NA
"Haddam","Low Birth Weight (under 2500 grams)","All","45 years and older","All",NA
"Haddam","Low Birth Weight (under 2500 grams)","All","All","All","2014"
"Haddam","Low Birth Weight (under 2500 grams)","All","All","Black",NA
"Haddam","Low Birth Weight (under 2500 grams)","All","All","Black non-Hispanic",NA
"Haddam","Low Birth Weight (under 2500 grams)","All","All","Hispanic",NA
"Haddam","Low Birth Weight (under 2500 grams)","All","All","Non-Hispanic","2014"
"Haddam","Low Birth Weight (under 2500 grams)","All","All","Other",NA
"Haddam","Low Birth Weight (under 2500 grams)","All","All","Other non-Hispanic",NA
"Haddam","Low Birth Weight (under 2500 grams)","All","All","Unknown Ethnicity",NA
"Haddam","Low Birth Weight (under 2500 grams)","All","All","Unknown Race",NA
"Haddam","Low Birth Weight (under 2500 grams)","All","All","Unknown Race/Ethnicity",NA
"Haddam","Low Birth Weight (under 2500 grams)","All","All","White","2014"
"Haddam","Low Birth Weight (under 2500 grams)","All","All","White non-Hispanic","2014"
"Haddam","Low Birth Weight (under 2500 grams)","All","Unknown","All",NA
"Haddam","Very Low Birth Weight (under 1500 grams)","All","0 to 14 years","All",NA
"Haddam","Very Low Birth Weight (under 1500 grams)","All","15 to 19 years","All",NA
"Haddam","Very Low Birth Weight (under 1500 grams)","All","20 to 24 years","All","2012-2014"
"Haddam","Very Low Birth Weight (under 1500 grams)","All","25 to 29 years","All",NA
"Haddam","Very Low Birth Weight (under 1500 grams)","All","30 to 34 years","All",NA
"Haddam","Very Low Birth Weight (under 1500 grams)","All","35 to 39 years","All","2010-2014"
"Haddam","Very Low Birth Weight (under 1500 grams)","All","40 to 44 years","All",NA
"Haddam","Very Low Birth Weight (under 1500 grams)","All","45 years and older","All",NA
"Haddam","Very Low Birth Weight (under 1500 grams)","All","All","All","2012-2014"
"Haddam","Very Low Birth Weight (under 1500 grams)","All","All","Black",NA
"Haddam","Very Low Birth Weight (under 1500 grams)","All","All","Black non-Hispanic",NA
"Haddam","Very Low Birth Weight (under 1500 grams)","All","All","Hispanic",NA
"Haddam","Very Low Birth Weight (under 1500 grams)","All","All","Non-Hispanic","2012-2014"
"Haddam","Very Low Birth Weight (under 1500 grams)","All","All","Other",NA
"Haddam","Very Low Birth Weight (under 1500 grams)","All","All","Other non-Hispanic",NA
"Haddam","Very Low Birth Weight (under 1500 grams)","All","All","Unknown Ethnicity",NA
"Haddam","Very Low Birth Weight (under 1500 grams)","All","All","Unknown Race",NA
"Haddam","Very Low Birth Weight (under 1500 grams)","All","All","Unknown Race/Ethnicity",NA
"Haddam","Very Low Birth Weight (under 1500 grams)","All","All","White","2012-2014"
"Haddam","Very Low Birth Weight (under 1500 grams)","All","All","White non-Hispanic","2012-2014"
"Haddam","Very Low Birth Weight (under 1500 grams)","All","Unknown","All",NA
"Hamden","All","37 weeks or more","0 to 14 years","All","2010-2014"
"Hamden","All","37 weeks or more","15 to 19 years","All","2014"
"Hamden","All","37 weeks or more","20 to 24 years","All","2014"
"Hamden","All","37 weeks or more","25 to 29 years","All","2014"
"Hamden","All","37 weeks or more","30 to 34 years","All","2014"
"Hamden","All","37 weeks or more","35 to 39 years","All","2014"
"Hamden","All","37 weeks or more","40 to 44 years","All","2014"
"Hamden","All","37 weeks or more","45 years and older","All","2014"
"Hamden","All","37 weeks or more","All","All","2014"
"Hamden","All","37 weeks or more","All","Black","2014"
"Hamden","All","37 weeks or more","All","Black non-Hispanic","2014"
"Hamden","All","37 weeks or more","All","Hispanic","2014"
"Hamden","All","37 weeks or more","All","Non-Hispanic","2014"
"Hamden","All","37 weeks or more","All","Other","2014"
"Hamden","All","37 weeks or more","All","Other non-Hispanic","2014"
"Hamden","All","37 weeks or more","All","Unknown Ethnicity","2012-2014"
"Hamden","All","37 weeks or more","All","Unknown Race","2012-2014"
"Hamden","All","37 weeks or more","All","Unknown Race/Ethnicity","2012-2014"
"Hamden","All","37 weeks or more","All","White","2014"
"Hamden","All","37 weeks or more","All","White non-Hispanic","2014"
"Hamden","All","37 weeks or more","Unknown","All","2012-2014"
"Hamden","All","All","0 to 14 years","All","2010-2014"
"Hamden","All","All","15 to 19 years","All","2014"
"Hamden","All","All","20 to 24 years","All","2014"
"Hamden","All","All","25 to 29 years","All","2014"
"Hamden","All","All","30 to 34 years","All","2014"
"Hamden","All","All","35 to 39 years","All","2014"
"Hamden","All","All","40 to 44 years","All","2014"
"Hamden","All","All","45 years and older","All","2014"
"Hamden","All","All","All","All","2014"
"Hamden","All","All","All","Black","2014"
"Hamden","All","All","All","Black non-Hispanic","2014"
"Hamden","All","All","All","Hispanic","2014"
"Hamden","All","All","All","Non-Hispanic","2014"
"Hamden","All","All","All","Other","2014"
"Hamden","All","All","All","Other non-Hispanic","2014"
"Hamden","All","All","All","Unknown Ethnicity","2012-2014"
"Hamden","All","All","All","Unknown Race","2014"
"Hamden","All","All","All","Unknown Race/Ethnicity","2014"
"Hamden","All","All","All","White","2014"
"Hamden","All","All","All","White non-Hispanic","2014"
"Hamden","All","All","Unknown","All","2012-2014"
"Hamden","All","Gestational age unknown","0 to 14 years","All",NA
"Hamden","All","Gestational age unknown","15 to 19 years","All",NA
"Hamden","All","Gestational age unknown","20 to 24 years","All",NA
"Hamden","All","Gestational age unknown","25 to 29 years","All",NA
"Hamden","All","Gestational age unknown","30 to 34 years","All","2010-2014"
"Hamden","All","Gestational age unknown","35 to 39 years","All",NA
"Hamden","All","Gestational age unknown","40 to 44 years","All","2010-2014"
"Hamden","All","Gestational age unknown","45 years and older","All","2012-2014"
"Hamden","All","Gestational age unknown","All","All","2012-2014"
"Hamden","All","Gestational age unknown","All","Black",NA
"Hamden","All","Gestational age unknown","All","Black non-Hispanic",NA
"Hamden","All","Gestational age unknown","All","Hispanic",NA
"Hamden","All","Gestational age unknown","All","Non-Hispanic",NA
"Hamden","All","Gestational age unknown","All","Other",NA
"Hamden","All","Gestational age unknown","All","Other non-Hispanic",NA
"Hamden","All","Gestational age unknown","All","Unknown Ethnicity","2012-2014"
"Hamden","All","Gestational age unknown","All","Unknown Race","2012-2014"
"Hamden","All","Gestational age unknown","All","Unknown Race/Ethnicity","2012-2014"
"Hamden","All","Gestational age unknown","All","White",NA
"Hamden","All","Gestational age unknown","All","White non-Hispanic",NA
"Hamden","All","Gestational age unknown","Unknown","All",NA
"Hamden","All","Less than 37 weeks","0 to 14 years","All",NA
"Hamden","All","Less than 37 weeks","15 to 19 years","All","2014"
"Hamden","All","Less than 37 weeks","20 to 24 years","All","2014"
"Hamden","All","Less than 37 weeks","25 to 29 years","All","2014"
"Hamden","All","Less than 37 weeks","30 to 34 years","All","2014"
"Hamden","All","Less than 37 weeks","35 to 39 years","All","2014"
"Hamden","All","Less than 37 weeks","40 to 44 years","All","2014"
"Hamden","All","Less than 37 weeks","45 years and older","All","2014"
"Hamden","All","Less than 37 weeks","All","All","2014"
"Hamden","All","Less than 37 weeks","All","Black","2014"
"Hamden","All","Less than 37 weeks","All","Black non-Hispanic","2014"
"Hamden","All","Less than 37 weeks","All","Hispanic","2014"
"Hamden","All","Less than 37 weeks","All","Non-Hispanic","2014"
"Hamden","All","Less than 37 weeks","All","Other","2014"
"Hamden","All","Less than 37 weeks","All","Other non-Hispanic","2014"
"Hamden","All","Less than 37 weeks","All","Unknown Ethnicity",NA
"Hamden","All","Less than 37 weeks","All","Unknown Race","2014"
"Hamden","All","Less than 37 weeks","All","Unknown Race/Ethnicity","2014"
"Hamden","All","Less than 37 weeks","All","White","2014"
"Hamden","All","Less than 37 weeks","All","White non-Hispanic","2014"
"Hamden","All","Less than 37 weeks","Unknown","All",NA
"Hamden","Low Birth Weight (under 2500 grams)","All","0 to 14 years","All","2010-2014"
"Hamden","Low Birth Weight (under 2500 grams)","All","15 to 19 years","All","2012-2014"
"Hamden","Low Birth Weight (under 2500 grams)","All","20 to 24 years","All","2014"
"Hamden","Low Birth Weight (under 2500 grams)","All","25 to 29 years","All","2014"
"Hamden","Low Birth Weight (under 2500 grams)","All","30 to 34 years","All","2014"
"Hamden","Low Birth Weight (under 2500 grams)","All","35 to 39 years","All","2014"
"Hamden","Low Birth Weight (under 2500 grams)","All","40 to 44 years","All","2014"
"Hamden","Low Birth Weight (under 2500 grams)","All","45 years and older","All","2014"
"Hamden","Low Birth Weight (under 2500 grams)","All","All","All","2014"
"Hamden","Low Birth Weight (under 2500 grams)","All","All","Black","2014"
"Hamden","Low Birth Weight (under 2500 grams)","All","All","Black non-Hispanic","2014"
"Hamden","Low Birth Weight (under 2500 grams)","All","All","Hispanic","2014"
"Hamden","Low Birth Weight (under 2500 grams)","All","All","Non-Hispanic","2014"
"Hamden","Low Birth Weight (under 2500 grams)","All","All","Other","2014"
"Hamden","Low Birth Weight (under 2500 grams)","All","All","Other non-Hispanic","2014"
"Hamden","Low Birth Weight (under 2500 grams)","All","All","Unknown Ethnicity",NA
"Hamden","Low Birth Weight (under 2500 grams)","All","All","Unknown Race","2014"
"Hamden","Low Birth Weight (under 2500 grams)","All","All","Unknown Race/Ethnicity","2014"
"Hamden","Low Birth Weight (under 2500 grams)","All","All","White","2014"
"Hamden","Low Birth Weight (under 2500 grams)","All","All","White non-Hispanic","2014"
"Hamden","Low Birth Weight (under 2500 grams)","All","Unknown","All",NA
"Hamden","Very Low Birth Weight (under 1500 grams)","All","0 to 14 years","All",NA
"Hamden","Very Low Birth Weight (under 1500 grams)","All","15 to 19 years","All","2012-2014"
"Hamden","Very Low Birth Weight (under 1500 grams)","All","20 to 24 years","All","2014"
"Hamden","Very Low Birth Weight (under 1500 grams)","All","25 to 29 years","All","2014"
"Hamden","Very Low Birth Weight (under 1500 grams)","All","30 to 34 years","All","2014"
"Hamden","Very Low Birth Weight (under 1500 grams)","All","35 to 39 years","All","2014"
"Hamden","Very Low Birth Weight (under 1500 grams)","All","40 to 44 years","All","2012-2014"
"Hamden","Very Low Birth Weight (under 1500 grams)","All","45 years and older","All","2014"
"Hamden","Very Low Birth Weight (under 1500 grams)","All","All","All","2014"
"Hamden","Very Low Birth Weight (under 1500 grams)","All","All","Black","2014"
"Hamden","Very Low Birth Weight (under 1500 grams)","All","All","Black non-Hispanic","2014"
"Hamden","Very Low Birth Weight (under 1500 grams)","All","All","Hispanic","2014"
"Hamden","Very Low Birth Weight (under 1500 grams)","All","All","Non-Hispanic","2014"
"Hamden","Very Low Birth Weight (under 1500 grams)","All","All","Other","2012-2014"
"Hamden","Very Low Birth Weight (under 1500 grams)","All","All","Other non-Hispanic","2012-2014"
"Hamden","Very Low Birth Weight (under 1500 grams)","All","All","Unknown Ethnicity",NA
"Hamden","Very Low Birth Weight (under 1500 grams)","All","All","Unknown Race","2014"
"Hamden","Very Low Birth Weight (under 1500 grams)","All","All","Unknown Race/Ethnicity","2014"
"Hamden","Very Low Birth Weight (under 1500 grams)","All","All","White","2014"
"Hamden","Very Low Birth Weight (under 1500 grams)","All","All","White non-Hispanic","2014"
"Hamden","Very Low Birth Weight (under 1500 grams)","All","Unknown","All",NA
"Hampton","All","37 weeks or more","0 to 14 years","All",NA
"Hampton","All","37 weeks or more","15 to 19 years","All",NA
"Hampton","All","37 weeks or more","20 to 24 years","All","2014"
"Hampton","All","37 weeks or more","25 to 29 years","All","2014"
"Hampton","All","37 weeks or more","30 to 34 years","All","2014"
"Hampton","All","37 weeks or more","35 to 39 years","All","2014"
"Hampton","All","37 weeks or more","40 to 44 years","All","2014"
"Hampton","All","37 weeks or more","45 years and older","All",NA
"Hampton","All","37 weeks or more","All","All","2014"
"Hampton","All","37 weeks or more","All","Black","2014"
"Hampton","All","37 weeks or more","All","Black non-Hispanic","2014"
"Hampton","All","37 weeks or more","All","Hispanic","2014"
"Hampton","All","37 weeks or more","All","Non-Hispanic","2014"
"Hampton","All","37 weeks or more","All","Other","2010-2014"
"Hampton","All","37 weeks or more","All","Other non-Hispanic","2010-2014"
"Hampton","All","37 weeks or more","All","Unknown Ethnicity",NA
"Hampton","All","37 weeks or more","All","Unknown Race",NA
"Hampton","All","37 weeks or more","All","Unknown Race/Ethnicity",NA
"Hampton","All","37 weeks or more","All","White","2014"
"Hampton","All","37 weeks or more","All","White non-Hispanic","2014"
"Hampton","All","37 weeks or more","Unknown","All",NA
"Hampton","All","All","0 to 14 years","All",NA
"Hampton","All","All","15 to 19 years","All",NA
"Hampton","All","All","20 to 24 years","All","2014"
"Hampton","All","All","25 to 29 years","All","2014"
"Hampton","All","All","30 to 34 years","All","2014"
"Hampton","All","All","35 to 39 years","All","2014"
"Hampton","All","All","40 to 44 years","All","2014"
"Hampton","All","All","45 years and older","All",NA
"Hampton","All","All","All","All","2014"
"Hampton","All","All","All","Black","2014"
"Hampton","All","All","All","Black non-Hispanic","2014"
"Hampton","All","All","All","Hispanic","2014"
"Hampton","All","All","All","Non-Hispanic","2014"
"Hampton","All","All","All","Other","2010-2014"
"Hampton","All","All","All","Other non-Hispanic","2010-2014"
"Hampton","All","All","All","Unknown Ethnicity","2010-2014"
"Hampton","All","All","All","Unknown Race",NA
"Hampton","All","All","All","Unknown Race/Ethnicity","2010-2014"
"Hampton","All","All","All","White","2014"
"Hampton","All","All","All","White non-Hispanic","2014"
"Hampton","All","All","Unknown","All",NA
"Hampton","All","Gestational age unknown","0 to 14 years","All",NA
"Hampton","All","Gestational age unknown","15 to 19 years","All",NA
"Hampton","All","Gestational age unknown","20 to 24 years","All",NA
"Hampton","All","Gestational age unknown","25 to 29 years","All",NA
"Hampton","All","Gestational age unknown","30 to 34 years","All",NA
"Hampton","All","Gestational age unknown","35 to 39 years","All",NA
"Hampton","All","Gestational age unknown","40 to 44 years","All",NA
"Hampton","All","Gestational age unknown","45 years and older","All",NA
"Hampton","All","Gestational age unknown","All","All",NA
"Hampton","All","Gestational age unknown","All","Black",NA
"Hampton","All","Gestational age unknown","All","Black non-Hispanic",NA
"Hampton","All","Gestational age unknown","All","Hispanic",NA
"Hampton","All","Gestational age unknown","All","Non-Hispanic",NA
"Hampton","All","Gestational age unknown","All","Other",NA
"Hampton","All","Gestational age unknown","All","Other non-Hispanic",NA
"Hampton","All","Gestational age unknown","All","Unknown Ethnicity",NA
"Hampton","All","Gestational age unknown","All","Unknown Race",NA
"Hampton","All","Gestational age unknown","All","Unknown Race/Ethnicity",NA
"Hampton","All","Gestational age unknown","All","White",NA
"Hampton","All","Gestational age unknown","All","White non-Hispanic",NA
"Hampton","All","Gestational age unknown","Unknown","All",NA
"Hampton","All","Less than 37 weeks","0 to 14 years","All",NA
"Hampton","All","Less than 37 weeks","15 to 19 years","All",NA
"Hampton","All","Less than 37 weeks","20 to 24 years","All","2014"
"Hampton","All","Less than 37 weeks","25 to 29 years","All","2014"
"Hampton","All","Less than 37 weeks","30 to 34 years","All",NA
"Hampton","All","Less than 37 weeks","35 to 39 years","All","2010-2014"
"Hampton","All","Less than 37 weeks","40 to 44 years","All",NA
"Hampton","All","Less than 37 weeks","45 years and older","All",NA
"Hampton","All","Less than 37 weeks","All","All","2014"
"Hampton","All","Less than 37 weeks","All","Black",NA
"Hampton","All","Less than 37 weeks","All","Black non-Hispanic",NA
"Hampton","All","Less than 37 weeks","All","Hispanic",NA
"Hampton","All","Less than 37 weeks","All","Non-Hispanic","2014"
"Hampton","All","Less than 37 weeks","All","Other",NA
"Hampton","All","Less than 37 weeks","All","Other non-Hispanic",NA
"Hampton","All","Less than 37 weeks","All","Unknown Ethnicity","2010-2014"
"Hampton","All","Less than 37 weeks","All","Unknown Race",NA
"Hampton","All","Less than 37 weeks","All","Unknown Race/Ethnicity","2010-2014"
"Hampton","All","Less than 37 weeks","All","White","2014"
"Hampton","All","Less than 37 weeks","All","White non-Hispanic","2014"
"Hampton","All","Less than 37 weeks","Unknown","All",NA
"Hampton","Low Birth Weight (under 2500 grams)","All","0 to 14 years","All",NA
"Hampton","Low Birth Weight (under 2500 grams)","All","15 to 19 years","All",NA
"Hampton","Low Birth Weight (under 2500 grams)","All","20 to 24 years","All","2014"
"Hampton","Low Birth Weight (under 2500 grams)","All","25 to 29 years","All",NA
"Hampton","Low Birth Weight (under 2500 grams)","All","30 to 34 years","All",NA
"Hampton","Low Birth Weight (under 2500 grams)","All","35 to 39 years","All","2010-2014"
"Hampton","Low Birth Weight (under 2500 grams)","All","40 to 44 years","All",NA
"Hampton","Low Birth Weight (under 2500 grams)","All","45 years and older","All",NA
"Hampton","Low Birth Weight (under 2500 grams)","All","All","All","2014"
"Hampton","Low Birth Weight (under 2500 grams)","All","All","Black",NA
"Hampton","Low Birth Weight (under 2500 grams)","All","All","Black non-Hispanic",NA
"Hampton","Low Birth Weight (under 2500 grams)","All","All","Hispanic",NA
"Hampton","Low Birth Weight (under 2500 grams)","All","All","Non-Hispanic","2014"
"Hampton","Low Birth Weight (under 2500 grams)","All","All","Other",NA
"Hampton","Low Birth Weight (under 2500 grams)","All","All","Other non-Hispanic",NA
"Hampton","Low Birth Weight (under 2500 grams)","All","All","Unknown Ethnicity","2010-2014"
"Hampton","Low Birth Weight (under 2500 grams)","All","All","Unknown Race",NA
"Hampton","Low Birth Weight (under 2500 grams)","All","All","Unknown Race/Ethnicity","2010-2014"
"Hampton","Low Birth Weight (under 2500 grams)","All","All","White","2014"
"Hampton","Low Birth Weight (under 2500 grams)","All","All","White non-Hispanic","2014"
"Hampton","Low Birth Weight (under 2500 grams)","All","Unknown","All",NA
"Hampton","Very Low Birth Weight (under 1500 grams)","All","0 to 14 years","All",NA
"Hampton","Very Low Birth Weight (under 1500 grams)","All","15 to 19 years","All",NA
"Hampton","Very Low Birth Weight (under 1500 grams)","All","20 to 24 years","All",NA
"Hampton","Very Low Birth Weight (under 1500 grams)","All","25 to 29 years","All",NA
"Hampton","Very Low Birth Weight (under 1500 grams)","All","30 to 34 years","All",NA
"Hampton","Very Low Birth Weight (under 1500 grams)","All","35 to 39 years","All","2010-2014"
"Hampton","Very Low Birth Weight (under 1500 grams)","All","40 to 44 years","All",NA
"Hampton","Very Low Birth Weight (under 1500 grams)","All","45 years and older","All",NA
"Hampton","Very Low Birth Weight (under 1500 grams)","All","All","All","2010-2014"
"Hampton","Very Low Birth Weight (under 1500 grams)","All","All","Black",NA
"Hampton","Very Low Birth Weight (under 1500 grams)","All","All","Black non-Hispanic",NA
"Hampton","Very Low Birth Weight (under 1500 grams)","All","All","Hispanic",NA
"Hampton","Very Low Birth Weight (under 1500 grams)","All","All","Non-Hispanic",NA
"Hampton","Very Low Birth Weight (under 1500 grams)","All","All","Other",NA
"Hampton","Very Low Birth Weight (under 1500 grams)","All","All","Other non-Hispanic",NA
"Hampton","Very Low Birth Weight (under 1500 grams)","All","All","Unknown Ethnicity","2010-2014"
"Hampton","Very Low Birth Weight (under 1500 grams)","All","All","Unknown Race",NA
"Hampton","Very Low Birth Weight (under 1500 grams)","All","All","Unknown Race/Ethnicity","2010-2014"
"Hampton","Very Low Birth Weight (under 1500 grams)","All","All","White","2010-2014"
"Hampton","Very Low Birth Weight (under 1500 grams)","All","All","White non-Hispanic",NA
"Hampton","Very Low Birth Weight (under 1500 grams)","All","Unknown","All",NA
"Hartford","All","37 weeks or more","0 to 14 years","All","2014"
"Hartford","All","37 weeks or more","15 to 19 years","All","2014"
"Hartford","All","37 weeks or more","20 to 24 years","All","2014"
"Hartford","All","37 weeks or more","25 to 29 years","All","2014"
"Hartford","All","37 weeks or more","30 to 34 years","All","2014"
"Hartford","All","37 weeks or more","35 to 39 years","All","2014"
"Hartford","All","37 weeks or more","40 to 44 years","All","2014"
"Hartford","All","37 weeks or more","45 years and older","All","2012-2014"
"Hartford","All","37 weeks or more","All","All","2014"
"Hartford","All","37 weeks or more","All","Black","2014"
"Hartford","All","37 weeks or more","All","Black non-Hispanic","2014"
"Hartford","All","37 weeks or more","All","Hispanic","2014"
"Hartford","All","37 weeks or more","All","Non-Hispanic","2014"
"Hartford","All","37 weeks or more","All","Other","2014"
"Hartford","All","37 weeks or more","All","Other non-Hispanic","2014"
"Hartford","All","37 weeks or more","All","Unknown Ethnicity","2014"
"Hartford","All","37 weeks or more","All","Unknown Race","2014"
"Hartford","All","37 weeks or more","All","Unknown Race/Ethnicity","2014"
"Hartford","All","37 weeks or more","All","White","2014"
"Hartford","All","37 weeks or more","All","White non-Hispanic","2014"
"Hartford","All","37 weeks or more","Unknown","All",NA
"Hartford","All","All","0 to 14 years","All","2014"
"Hartford","All","All","15 to 19 years","All","2014"
"Hartford","All","All","20 to 24 years","All","2014"
"Hartford","All","All","25 to 29 years","All","2014"
"Hartford","All","All","30 to 34 years","All","2014"
"Hartford","All","All","35 to 39 years","All","2014"
"Hartford","All","All","40 to 44 years","All","2014"
"Hartford","All","All","45 years and older","All","2012-2014"
"Hartford","All","All","All","All","2014"
"Hartford","All","All","All","Black","2014"
"Hartford","All","All","All","Black non-Hispanic","2014"
"Hartford","All","All","All","Hispanic","2014"
"Hartford","All","All","All","Non-Hispanic","2014"
"Hartford","All","All","All","Other","2014"
"Hartford","All","All","All","Other non-Hispanic","2014"
"Hartford","All","All","All","Unknown Ethnicity","2014"
